"STATEFP","ST","STATE"
"48","TX","Texas"
"35","NM","New Mexico"
"04","AZ","Arizona"
"40","OK","Oklahoma"
"06","CA","California"
"20","KS","Kansas"
"32","NV","Nevada"
"08","CO","Colorado"
"51","VA","Virginia"
"24","MD","Maryland"
"11","DC","District of Columbia"
"10","DE","Delaware"
"34","NJ","New Jersey"
"42","PA","Pennsylvania"
"12","FL","Florida"
"22","LA","Louisiana"
"28","MS","Mississippi"
"01","AL","Alabama"
"13","GA","Georgia"
"45","SC","South Carolina"
"05","AR","Arkansas"
"37","NC","North Carolina"
"47","TN","Tennessee"
"21","KY","Kentucky"
"29","MO","Missouri"
"54","WV","West Virginia"
"17","IL","Illinois"
"18","IN","Indiana"
"39","OH","Ohio"
"19","IA","Iowa"
"55","WI","Wisconsin"
"26","MI","Michigan"
"27","MN","Minnesota"
"49","UT","Utah"
"31","NE","Nebraska"
"56","WY","Wyoming"
"41","OR","Oregon"
"46","SD","South Dakota"
"16","ID","Idaho"
"30","MT","Montana"
"53","WA","Washington"
"38","ND","North Dakota"
"09","CT","Connecticut"
"44","RI","Rhode Island"
"25","MA","Massachusetts"
"36","NY","New York"
"50","VT","Vermont"
"33","NH","New Hampshire"
"23","ME","Maine"
